User_ID|Canvas_Set_ID|Curriculum_ID|Canvas_Start_Date_YYYYMMDD_HHMMSS|Canvas_End_Date_YYYYMMDD_HHMMSS|Curr_Start_Date_YYYYMMDD_HHMMSS|Curr_End_Date_YYYYMMDD_HHMMSS
153256|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150088|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153644|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153984|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151075|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153385|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150714|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152794|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153937|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154124|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151198|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
169664|16|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153579|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153552|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153435|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153839|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153340|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153332|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153341|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153576|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153332|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
162121|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153839|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153439|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153583|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153545|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153585|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153586|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153546|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153645|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153438|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153685|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153579|17|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150525|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
149891|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151821|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
161509|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152938|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154513|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153345|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151509|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
152742|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
150889|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
153634|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
157095|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151184|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
151500|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
155453|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
161508|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
154921|18|8|20150813_000000|20150915_235959|20150813_000000|20150915_235959
