Legacy_ID,Legacy_Name,Legacy_ID_Consolidaton,New_Name,New_IDs
6,Engineering,,Engineering,"133, 166, 336, 369, 572, 605, 951, 984, 1206, 1239, 1403, 1436, 1656, 1689, 1859, 1892, 2119, 2152, 2337, 2370, 2617, 2650, 2820, 2853, 3071, 3104, 3333, 3366, 3575, 3608, 3775, 3808, 4014, 4047, 4217, 4250, 4456, 4489, 4652, 4685, 4900, 4933, 5094, 5127, 5355, 5388, 5554, 5587, 5781, 5814, 5975, 6008, 6246, 6279, 6591, 6624|""Engineering"""
22,English,,English,"132, 165, 335, 368, 571, 604, 950, 983, 1205, 1238, 1402, 1435, 1655, 1688, 1858, 1891, 2118, 2151, 2336, 2369, 2616, 2649, 2819, 2852, 3070, 3103, 3332, 3365, 3574, 3607, 3774, 3807, 4013, 4046, 4216, 4249, 4455, 4488, 4651, 4684, 4899, 4932, 5093, 5126, 5354, 5387, 5553, 5586, 5780, 5813, 5974, 6007, 6245, 6278, 6590, 6623|""English"""
110,English/ Creative Writing,22,,
71,Environmental Science,53,,
92,Environmental sciences,53,,
94,Environmental Studies,53,,
97,Equine Sciene,53,,
124,Finance,3,,
55,Fire Science,53,,
44,Foreign Languages/Literature (any),,"Foreign Language, Literatures, and Linguistics","3105, 134, 167, 337, 370, 573, 606, 952, 985, 1207, 1240, 1404, 1437, 1657, 1690, 1860, 1893, 2120, 2153, 2338, 2371, 2618, 2651, 2821, 2854, 3072, 3334, 3367, 3576, 3609, 3776, 3809, 4015, 4048, 4218, 4251, 4457, 4490, 4653, 4686, 4901, 4934, 5095, 5128, 5356, 5389, 5555, 5588, 5782, 5815, 5976, 6009, 6247, 6280, 6592, 6625|""Foreign Language"
35,Foreign Languages/Literature: Chinese,44,,
42,Foreign Languages/Literature: French,44,,
24,Foreign Languages/Literature: German,44,,
36,Foreign Languages/Literature: Italian,44,,
39,Foreign Languages/Literature: Japanese,44,,
17,Foreign Languages/Literature: Russian,44,,
14,Foreign Languages/Literature: Spanish,44,,
66,French,44,,
82,General Science,53,,
26,Geography,,Geography,"135, 168, 338, 371, 574, 607, 953, 986, 1208, 1241, 1405, 1438, 1658, 1691, 1861, 1894, 2121, 2154, 2339, 2372, 2619, 2652, 2822, 2855, 3073, 3106, 3335, 3368, 3577, 3610, 3777, 3810, 4016, 4049, 4219, 4252, 4458, 4491, 4654, 4687, 4902, 4935, 5096, 5129, 5357, 5390, 5556, 5589, 5783, 5816, 5977, 6010, 6248, 6281, 6593, 6626|""Geography"""
43,Geological Sciences,53,,
85,German,44,,
87,"Good average in school, but could use push and/or improved study skills (80-85%).",53,,
122,Graphic Design,53,,
96,Health Care Field,53,,
103,Health Education,53,,
129,Health Sciences,53,,
86,"High average grades; good organization, time management and study skills (85-90%).",53,,
12,History,,History,"136, 169, 339, 372, 575, 608, 954, 987, 1209, 1242, 1692, 1406, 1439, 1659, 1862, 1895, 2122, 2155, 2340, 2373, 2620, 2653, 2823, 2856, 3074, 3107, 3336, 3369, 3578, 3611, 3778, 3811, 4017, 4050, 4220, 4253, 4459, 4492, 4655, 4688, 4903, 4936, 5097, 5130, 5358, 5391, 5557, 5590, 5784, 5817, 5978, 6011, 6249, 6282, 6594, 6627|""History"""
81,Honors Program,53,,
123,Hospitality,53,,
54,Human Service,53,,
61,Information Science,10,,
63,International Political Economy,19,,
19,International Relations,,International Relations,"4689, 137, 170, 340, 373, 576, 609, 955, 988, 1210, 1243, 1407, 1440, 1660, 1693, 1863, 1896, 2123, 2156, 2341, 2374, 2621, 2654, 2824, 2857, 3075, 3108, 3337, 3370, 3579, 3612, 3779, 3812, 4018, 4051, 4221, 4254, 4460, 4493, 4656, 4904, 4937, 5098, 5131, 5359, 5392, 5558, 5591, 5785, 5818, 5979, 6012, 6250, 6283, 6595, 6628|""International Relations"""
45,Internet Marketing,3,,
91,Irish Studies,25,,
80,Italian,44,,
98,Journalism,,Journalism,"138, 171, 341, 374, 577, 610, 956, 989, 1211, 1244, 1408, 1441, 1661, 1694, 1864, 1897, 2124, 2157, 2342, 2375, 2622, 2655, 2825, 2858, 3076, 3109, 3338, 3371, 3580, 3613, 3780, 3813, 4019, 4052, 4222, 4255, 4461, 4494, 4657, 4690, 4905, 4938, 5099, 5132, 5360, 5393, 5559, 5592, 5786, 5819, 5980, 6013, 6251, 6284, 6596, 6629|""Journalism"""
65,Latin American & Latino Studies,25,,
50,Law,53,,
114,Liberal Arts,53,,
34,Library Sciences,,Library Sciences,"139, 172, 342, 375, 578, 611, 957, 990, 1212, 1245, 1409, 1442, 1662, 1695, 1865, 1898, 2125, 2158, 2343, 2376, 2623, 2656, 2826, 2859, 3077, 3110, 3339, 3372, 3581, 3614, 3781, 3814, 4020, 4053, 4223, 4256, 4462, 4495, 4658, 4691, 4906, 4939, 5100, 5133, 5361, 5394, 5560, 5593, 5787, 5820, 5981, 6014, 6252, 6285, 6597, 6630|""Library Sciences"""
108,Library Sciences/Information Sciences,34,,
117,Marketing,3,,
7,Mathematics,,Mathematics,"140, 173, 343, 376, 579, 612, 958, 991, 1213, 1246, 1410, 1443, 1663, 1696, 1866, 1899, 2126, 2159, 2344, 2377, 2624, 2657, 3111, 2827, 2860, 3078, 3340, 3373, 3582, 3615, 3782, 3815, 4021, 4054, 4224, 4257, 4463, 4496, 4659, 4692, 4907, 4940, 5101, 5134, 5362, 5395, 5561, 5594, 5788, 5821, 5982, 6015, 6253, 6286, 6598, 6631|""Mathematics"""
67,Medieval Studies,53,,
69,Middle East Studies,25,,
16,Music,53,,
134,N/A,53,,
38,Natural Sciences,53,,
57,No,53,,
49,Not Applicable,53,,
105,"Not Listed (Please include in the Other"" section of the survey)""",53,,
99,Nursing,53,,
132,Nutrition,53,,
53,Other,,,
93,Out Door Recreation Program,53,,
60,Peace and Justice Studies,53,,
119,Pharmacy,53,,
13,Philosophy,,Philosophy,"141, 174, 344, 377, 580, 613, 959, 992, 1214, 1247, 1411, 1444, 1664, 1697, 1867, 1900, 2127, 2160, 2345, 2378, 2625, 2658, 3112, 2828, 2861, 3079, 3341, 3374, 3583, 3616, 3783, 3816, 4022, 4055, 4225, 4258, 4464, 4497, 4660, 4693, 4908, 4941, 5102, 5135, 5363, 5396, 5562, 5595, 5789, 5822, 5983, 6016, 6254, 6287, 6599, 6632|""Philosophy"""
100,Physician Assistant,53,,
113,Physics,41,,
